country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year; gdp_for_year ($);gdp_per_capita ($);generation
Albania;1987;male;15-24 years;21,00;312.900;6.71;Albania1987;; $2.156.624.900,00 ; $796,00 ;Generation X
Albania;1987;male;35-54 years;16,00;308.000;5.19;Albania1987;; $2.156.624.900,00 ; $796,00 ;Silent
Albania;1987;female;15-24 years;14,00;289.700;4.83;Albania1987;; $2.156.624.900,00 ; $796,00 ;Generation X
Albania;1987;male;75+ years;1,00;21.800;4.59;Albania1987;; $2.156.624.900,00 ; $796,00 ;G.I. Generation
Albania;1987;male;25-34 years;9,00;274.300;3.28;Albania1987;; $2.156.624.900,00 ; $796,00 ;Boomers
Albania;1987;female;75+ years;1,00;35.600;2.81;Albania1987;; $2.156.624.900,00 ; $796,00 ;G.I. Generation
Albania;1987;female;35-54 years;6,00;278.800;2.15;Albania1987;; $2.156.624.900,00 ; $796,00 ;Silent
Albania;1987;female;25-34 years;4,00;257.200;1.56;Albania1987;; $2.156.624.900,00 ; $796,00 ;Boomers
Albania;1987;male;55-74 years;1,00;137.500;0.73;Albania1987;; $2.156.624.900,00 ; $796,00 ;G.I. Generation
Albania;1987;female;5-14 years;0,00;311.000;0,00;Albania1987;; $2.156.624.900,00 ; $796,00 ;Generation X
Albania;1987;female;55-74 years;0,00;144.600;0,00;Albania1987;; $2.156.624.900,00 ; $796,00 ;G.I. Generation
Albania;1987;male;5-14 years;0,00;338.200;0,00;Albania1987;; $2.156.624.900,00 ; $796,00 ;Generation X
Albania;1988;female;75+ years;2,00;36.400;5.49;Albania1988;; $2.126.000.000,00 ; $769,00 ;G.I. Generation
Albania;1988;male;15-24 years;17,00;319.200;5.33;Albania1988;; $2.126.000.000,00 ; $769,00 ;Generation X
Albania;1988;male;75+ years;1,00;22.300;4.48;Albania1988;; $2.126.000.000,00 ; $769,00 ;G.I. Generation
Albania;1988;male;35-54 years;14,00;314.100;4.46;Albania1988;; $2.126.000.000,00 ; $769,00 ;Silent
Albania;1988;male;55-74 years;4,00;140.200;2.85;Albania1988;; $2.126.000.000,00 ; $769,00 ;G.I. Generation
Albania;1988;female;15-24 years;8,00;295.600;2.71;Albania1988;; $2.126.000.000,00 ; $769,00 ;Generation X
Albania;1988;female;55-74 years;3,00;147.500;2.03;Albania1988;; $2.126.000.000,00 ; $769,00 ;G.I. Generation
Albania;1988;female;25-34 years;5,00;262.400;1.91;Albania1988;; $2.126.000.000,00 ; $769,00 ;Boomers
Albania;1988;male;25-34 years;5,00;279.900;1.79;Albania1988;; $2.126.000.000,00 ; $769,00 ;Boomers
Albania;1988;female;35-54 years;4,00;284.500;1.41;Albania1988;; $2.126.000.000,00 ; $769,00 ;Silent
Albania;1988;female;5-14 years;0,00;317.200;0,00;Albania1988;; $2.126.000.000,00 ; $769,00 ;Generation X
Albania;1988;male;5-14 years;0,00;345.000;0,00;Albania1988;; $2.126.000.000,00 ; $769,00 ;Generation X
Albania;1989;male;75+ years;2,00;22.500;8.89;Albania1989;; $2.335.124.988,00 ; $833,00 ;G.I. Generation
Albania;1989;male;25-34 years;18,00;283.600;6.35;Albania1989;; $2.335.124.988,00 ; $833,00 ;Boomers
Albania;1989;male;35-54 years;15,00;318.400;4.71;Albania1989;; $2.335.124.988,00 ; $833,00 ;Silent
Albania;1989;male;55-74 years;6,00;142.100;4.22;Albania1989;; $2.335.124.988,00 ; $833,00 ;G.I. Generation
Albania;1989;male;15-24 years;12,00;323.500;3.71;Albania1989;; $2.335.124.988,00 ; $833,00 ;Generation X
Albania;1989;female;35-54 years;7,00;288.600;2.43;Albania1989;; $2.335.124.988,00 ; $833,00 ;Silent
Albania;1989;female;15-24 years;5,00;299.900;1.67;Albania1989;; $2.335.124.988,00 ; $833,00 ;Generation X
Albania;1989;female;25-34 years;2,00;266.300;0.75;Albania1989;; $2.335.124.988,00 ; $833,00 ;Boomers
